id,date,time,zone,currency,importance,event,actual,forecast,previous
512347,13/12/2024,00:50,japan,JPY,medium,Tankan Large Manufacturers Index  (Q4),14,13,13
512352,13/12/2024,00:50,japan,JPY,low,Tankan Large Non-Manufacturers Diffusion Index  (Q4),28,28,28
512350,13/12/2024,00:50,japan,JPY,medium,Tankan Large Non-Manufacturers Index  (Q4),33,33,34
512353,13/12/2024,00:50,japan,JPY,low,Tankan Small Manufacturers Diffusion Index  (Q4),0,-2,0
512348,13/12/2024,00:50,japan,JPY,low,Tankan Small Manufacturing Index  (Q4),1,-2,0
512354,13/12/2024,00:50,japan,JPY,low,Tankan Small Non-Manufacturers Diffusion Index  (Q4),8,,11
512349,13/12/2024,00:50,japan,JPY,low,Tankan Small Non-Manufacturing Index  (Q4),16,11,14
512509,13/12/2024,01:01,united kingdom,GBP,low,GfK Consumer Confidence  (Dec),-17,-18,-18
512359,13/12/2024,03:00,south korea,KRW,low,Thomson Reuters IPSOS PCSI (MoM)  (Dec),37.97,,40.12
512358,13/12/2024,03:00,india,INR,low,Thomson Reuters IPSOS PCSI (MoM)  (Dec),60.29,,61.00
512360,13/12/2024,03:00,australia,AUD,low,Thomson Reuters IPSOS PCSI (MoM)  (Dec),49.24,,48.95
512361,13/12/2024,03:00,japan,JPY,low,Thomson Reuters IPSOS PCSI  (Dec),38.49,,37.76
512357,13/12/2024,03:00,china,CNY,low,China Thomson Reuters IPSOS PCSI  (Dec),69.54,,73.03
512362,13/12/2024,05:30,japan,JPY,low,Capacity Utilization (MoM)  (Oct),2.6%,,4.4%
512365,13/12/2024,05:30,japan,JPY,medium,Industrial Production (MoM)  (Oct),2.8%,3.0%,1.6%
512370,13/12/2024,07:00,finland,EUR,low,CPI (MoM)  (Nov),-0.40%,,0.50%
216,02/12/2024,All Day,united arab emirates,,,United Arab Emirates - National Day,,,
216,02/12/2024,All Day,united arab emirates,,,United Arab Emirates - National Day,,,
216,03/12/2024,All Day,united arab emirates,,,United Arab Emirates - National Day,,,
216,03/12/2024,All Day,united arab emirates,,,United Arab Emirates - National Day,,,
525,05/12/2024,All Day,thailand,,,Thailand - H.M. The King's Birthday,,,
173,06/12/2024,All Day,finland,,,Finland - Independence Day,,,
173,09/12/2024,All Day,tanzania,,,Tanzania - Independence Day,,,
807,09/12/2024,All Day,peru,,,Peru - Ayacucho´s Battle,,,
178,10/12/2024,All Day,thailand,,,Thailand - Constitution Day,,,
173,12/12/2024,All Day,kenya,,,Kenya - Independence Day,,,
550,12/12/2024,All Day,mexico,,,Mexico - Bank Holiday,,,
229,13/12/2024,All Day,malta,,,Malta - Republic Day,,,
512367,13/12/2024,07:00,finland,EUR,low,Finnish CPI (YoY)  (Nov),1.0%,,1.1%
512368,13/12/2024,07:00,finland,EUR,low,Finnish Current Account  (Oct),-0.30B,,1.10B
512369,13/12/2024,07:00,finland,EUR,low,Finnish GDP (YoY)  (Oct),-0.5%,,-1.0%
512464,13/12/2024,07:00,botswana,BWP,low,CPI (MoM)  (Nov),0.1%,,0.2%
512463,13/12/2024,07:00,botswana,BWP,low,CPI (YoY)  (Nov),1.7%,,1.6%
512381,13/12/2024,08:00,united kingdom,GBP,low,U.K. Construction Output (YoY)  (Oct),-0.7%,0.0%,-0.4%
512377,13/12/2024,08:00,united kingdom,GBP,low,Construction Output (MoM)  (Oct),-0.4%,0.2%,0.1%
512261,13/12/2024,08:00,united kingdom,GBP,high,GDP (MoM)  (Oct),-0.1%,0.1%,-0.1%
512263,13/12/2024,08:00,united kingdom,GBP,low,GDP (YoY)  (Oct),1.3%,1.6%,1.0%
512385,13/12/2024,08:00,united kingdom,GBP,medium,Industrial Production (MoM)  (Oct),-0.6%,0.3%,-0.5%
512383,13/12/2024,08:00,united kingdom,GBP,low,Industrial Production (YoY)  (Oct),-0.7%,0.2%,-1.8%
512382,13/12/2024,08:00,united kingdom,GBP,low,Manufacturing Production (YoY)  (Oct),0.0%,0.9%,-0.7%
512379,13/12/2024,08:00,united kingdom,GBP,medium,Manufacturing Production (MoM)  (Oct),-0.6%,0.2%,-1.0%
512262,13/12/2024,08:00,united kingdom,GBP,medium,Monthly GDP 3M/3M Change  (Oct),0.1%,0.2%,0.1%
512266,13/12/2024,08:00,united kingdom,GBP,medium,Trade Balance  (Oct),-18.97B,-16.10B,-16.32B
